genome	og	contig	start	end	strand	identity	coverage
GCA_016166325.2	218488at5125	CM040491.1	3267072	3280624	+	0.9908	1.000
GCA_016166325.2	218490at5125	CM040491.1	3268651	3271418	-	0.9954	1.000
GCA_016166325.2	218498at5125	CM040485.1	2258151	2261384	+	0.9851	1.000
GCA_016166325.2	218521at5125	CM040492.1	2263078	2265171	+	0.9813	1.000
GCA_016166325.2	218523at5125	CM040491.1	2277373	2279217	-	0.9983	1.000
GCA_016166325.2	218525at5125	CM040485.1	4775488	4802384	+	0.9951	1.000
GCA_016166325.2	218567at5125	CM040492.1	1641175	1644342	+	0.9915	1.000
GCA_016166325.2	218582at5125	CM040485.1	2342428	2343345	+	1.0	1.000
GCA_016166325.2	218583at5125	CM040491.1	1656517	1659014	-	0.9975	1.000
GCA_016166325.2	218596at5125	CM040489.1	3554653	3557049	-	0.991	1.000
GCA_016166325.2	218627at5125	CM040489.1	3448761	3452324	+	0.9991	1.000
GCA_016166325.2	218638at5125	CM040489.1	1251523	1255468	+	0.9899	1.000
GCA_016166325.2	218647at5125	CM040485.1	2649935	2652541	-	0.9928	1.000
GCA_016166325.2	218664at5125	CM040485.1	1010265	1011491	-	0.9951	1.000
GCA_016166325.2	218676at5125	CM040488.1	3114758	3115161	+	0.9829	1.000
GCA_016166325.2	218689at5125	CM040491.1	2237291	2239345	-	0.9937	1.000
GCA_016166325.2	218694at5125	CM040485.1	4747436	4750069	+	0.9909	1.000
GCA_016166325.2	218706at5125	CM040489.1	2293986	2295920	+	0.9969	1.000
GCA_016166325.2	218731at5125	CM040492.1	1112415	1113141	+	1.0	1.000
GCA_016166325.2	218732at5125	CM040492.1	2137307	2139328	-	0.9941	1.000
GCA_016166325.2	218739at5125	CM040489.1	3075689	3076668	-	0.9792	1.000
GCA_016166325.2	218740at5125	CM040488.1	743244	744504	-	0.9851	1.000
GCA_016166325.2	218770at5125	CM040488.1	3406472	3410332	-	0.9732	1.000
GCA_016166325.2	218777at5125	CM040485.1	3864581	3866582	-	0.9707	1.000
GCA_016166325.2	218786at5125	CM040491.1	2416799	2418450	+	0.9945	1.000
GCA_016166325.2	218793at5125	CM040490.1	2045098	2046680	+	0.9883	1.000
GCA_016166325.2	218797at5125	CM040490.1	1813051	1818560	+	0.9964	1.000
GCA_016166325.2	218809at5125	CM040486.1	2302872	2305813	-	0.9917	1.000
GCA_016166325.2	218813at5125	CM040491.1	2513132	2515757	+	0.9893	1.000
GCA_016166325.2	218836at5125	CM040487.1	4687996	4688604	+	1.0	1.000
GCA_016166325.2	218850at5125	CM040486.1	954733	956214	+	0.9919	1.000
GCA_016166325.2	218852at5125	CM040491.1	2865875	2869110	+	0.9972	1.000
GCA_016166325.2	218856at5125	CM040491.1	2825862	2827260	-	0.9955	1.000
GCA_016166325.2	218895at5125	CM040486.1	3007629	3009189	-	1.0	1.000
GCA_016166325.2	218915at5125	CM040486.1	3717812	3721570	-	0.9959	1.000
GCA_016166325.2	218918at5125	CM040488.1	4067013	4069797	+	0.9954	1.000
GCA_016166325.2	218932at5125	CM040492.1	1878075	1881409	-	0.9933	1.000
GCA_016166325.2	218963at5125	CM040491.1	3552981	3554084	-	0.9938	1.000
GCA_016166325.2	218964at5125	CM040490.1	2768163	2771715	+	1.0	1.000
GCA_016166325.2	218984at5125	CM040485.1	5623309	5626347	-	0.998	1.000
GCA_016166325.2	219052at5125	CM040485.1	1743405	1746020	+	0.9946	1.000
GCA_016166325.2	219068at5125	CM040485.1	4557517	4559784	-	0.9937	1.000
GCA_016166325.2	219087at5125	CM040487.1	3851972	3854056	+	0.9955	1.000
GCA_016166325.2	21908at5125	CM040487.1	1190510	1191699	+	0.997	1.000
GCA_016166325.2	219096at5125	CM040492.1	1765742	1768008	+	0.9928	1.000
GCA_016166325.2	219101at5125	CM040492.1	1143357	1144098	+	1.0	1.000
GCA_016166325.2	219104at5125	CM040492.1	2294193	2294615	-	1.0	1.000
GCA_016166325.2	219117at5125	CM040491.1	2967567	2968670	-	0.9918	1.000
GCA_016166325.2	219119at5125	CM040486.1	1028307	1031714	+	0.9973	1.000
GCA_016166325.2	219123at5125	CM040485.1	3217449	3219056	+	1.0	1.000
GCA_016166325.2	219181at5125	CM040486.1	1243658	1244474	-	0.996	1.000
GCA_016166325.2	219203at5125	CM040486.1	1883795	1886182	+	0.9987	1.000
GCA_016166325.2	219209at5125	CM040486.1	2068322	2069937	+	0.996	1.000
GCA_016166325.2	219217at5125	CM040491.1	1451426	1454017	-	0.9886	1.000
GCA_016166325.2	219235at5125	CM040491.1	1628691	1630301	+	0.9981	1.000
GCA_016166325.2	219245at5125	CM040490.1	1796169	1798114	-	0.9952	1.000
GCA_016166325.2	219266at5125	CM040488.1	1757594	1758054	-	0.9926	1.000
GCA_016166325.2	21926at5125	CM040492.1	2147783	2149163	-	1.0	1.000
GCA_016166325.2	219282at5125	CM040488.1	2315890	2316819	+	1.0	1.000
GCA_016166325.2	219284at5125	CM040485.1	4511350	4514186	+	0.9977	1.000
GCA_016166325.2	219292at5125	CM040485.1	1426005	1427547	-	0.9747	1.000
GCA_016166325.2	219299at5125	CM040491.1	1806769	1807981	-	0.9973	1.000
GCA_016166325.2	219306at5125	CM040485.1	1438381	1440514	+	0.9898	1.000
GCA_016166325.2	219309at5125	CM040488.1	2435020	2436118	+	0.9909	1.000
GCA_016166325.2	219337at5125	CM040491.1	3350659	3351327	+	0.991	1.000
GCA_016166325.2	219348at5125	CM040488.1	1750803	1752379	+	0.9961	1.000
GCA_016166325.2	219355at5125	CM040487.1	1040383	1041956	+	0.9938	1.000
GCA_016166325.2	219360at5125	CM040486.1	359859	361247	-	0.9953	1.000
GCA_016166325.2	219361at5125	CM040487.1	3962322	3964494	+	0.997	1.000
GCA_016166325.2	219367at5125	CM040489.1	2150040	2151905	+	0.9885	1.000
GCA_016166325.2	219412at5125	CM040486.1	2505504	2506565	+	1.0	1.000
GCA_016166325.2	219414at5125	CM040492.1	1701420	1703979	+	0.9951	1.000
GCA_016166325.2	219418at5125	CM040486.1	66650	68034	+	0.9854	1.000
GCA_016166325.2	219426at5125	CM040489.1	2376298	2378642	+	1.0	1.000
GCA_016166325.2	219512at5125	CM040489.1	1073548	1075230	+	0.9893	1.000
GCA_016166325.2	219516at5125	CM040486.1	1648699	1650236	-	0.9979	1.000
GCA_016166325.2	219529at5125	CM040487.1	3973897	3976890	-	0.9948	1.000
GCA_016166325.2	219532at5125	CM040492.1	1869928	1870650	+	0.9875	1.000
GCA_016166325.2	219567at5125	CM040489.1	1292237	1294666	-	0.9926	1.000
GCA_016166325.2	219573at5125	CM040486.1	2832789	2834171	-	0.9826	1.000
GCA_016166325.2	219574at5125	CM040488.1	787285	789098	+	0.9944	1.000
GCA_016166325.2	219582at5125	CM040486.1	2433337	2434762	-	0.9905	1.000
GCA_016166325.2	219583at5125	CM040491.1	1253759	1255780	-	0.9837	1.000
GCA_016166325.2	219600at5125	CM040492.1	1663290	1664054	+	0.9961	1.000
GCA_016166325.2	219604at5125	CM040492.1	2403116	2410130	+	0.9992	1.000
GCA_016166325.2	219607at5125	CM040486.1	870440	872534	+	0.9985	1.000
GCA_016166325.2	219622at5125	CM040487.1	975282	975760	+	1.0	1.000
GCA_016166325.2	219640at5125	CM040485.1	2716326	2718150	+	0.9674	1.000
GCA_016166325.2	219651at5125	CM040486.1	1831904	1835454	+	0.9983	1.000
GCA_016166325.2	219653at5125	CM040490.1	2588349	2591522	+	0.9939	1.000
GCA_016166325.2	219655at5125	CM040488.1	2859335	2861558	+	0.9877	1.000
GCA_016166325.2	219675at5125	CM040485.1	2059326	2072634	-	0.9928	1.000
GCA_016166325.2	219692at5125	CM040488.1	1334338	1335899	+	0.998	1.000
GCA_016166325.2	219696at5125	CM040486.1	1613289	1615524	+	0.997	1.000
GCA_016166325.2	219703at5125	CM040486.1	2855492	2859053	+	0.9974	1.000
GCA_016166325.2	219707at5125	CM040485.1	1731083	1731840	+	0.9915	1.000
GCA_016166325.2	219721at5125	CM040487.1	1632520	1633777	+	0.9801	1.000
GCA_016166325.2	219762at5125	CM040488.1	1549112	1551190	+	0.9986	1.000
GCA_016166325.2	219780at5125	CM040485.1	1881232	1881990	-	1.0	1.000
GCA_016166325.2	219787at5125	CM040487.1	4153965	4155526	-	1.0	1.000
GCA_016166325.2	219796at5125	CM040486.1	3845565	3846320	-	0.9908	1.000
GCA_016166325.2	219801at5125	CM040491.1	3531273	3532226	-	0.9905	1.000
GCA_016166325.2	219809at5125	CM040488.1	1610444	1611283	-	0.9962	1.000
GCA_016166325.2	219812at5125	CM040485.1	3175173	3177208	-	0.9985	1.000
GCA_016166325.2	219833at5125	CM040486.1	803265	804962	-	0.9981	1.000
GCA_016166325.2	219850at5125	CM040485.1	3112695	3114336	+	0.998	1.000
GCA_016166325.2	219867at5125	CM040490.1	799603	800104	+	0.9926	1.000
GCA_016166325.2	219871at5125	CM040491.1	3106392	3108028	-	0.998	1.000
GCA_016166325.2	219892at5125	CM040487.1	4125432	4127704	+	0.9972	1.000
GCA_016166325.2	219898at5125	CM040491.1	1488140	1488963	-	0.9946	1.000
GCA_016166325.2	219940at5125	CM040487.1	4514175	4515690	+	0.9934	1.000
GCA_016166325.2	219977at5125	CM040488.1	3034094	3039374	+	0.9917	1.000
GCA_016166325.2	219981at5125	CM040491.1	2493434	2495431	-	0.9895	1.000
GCA_016166325.2	219983at5125	CM040490.1	738932	741051	+	0.9971	1.000
GCA_016166325.2	220009at5125	CM040486.1	2026899	2027555	-	0.9862	1.000
GCA_016166325.2	220034at5125	CM040485.1	3103819	3104811	-	1.0	1.000
GCA_016166325.2	220045at5125	CM040491.1	3662869	3664599	+	0.9948	1.000
GCA_016166325.2	220052at5125	CM040490.1	723827	725437	+	0.9925	1.000
GCA_016166325.2	220055at5125	CM040490.1	811236	811907	-	1.0	1.000
GCA_016166325.2	220097at5125	CM040485.1	2970909	2972855	-	0.9953	1.000
GCA_016166325.2	220141at5125	CM040486.1	1047284	1048728	-	0.9978	1.000
GCA_016166325.2	220145at5125	CM040485.1	3349053	3351031	+	0.9922	1.000
GCA_016166325.2	220146at5125	CM040489.1	2534408	2535172	+	0.9961	1.000
GCA_016166325.2	220149at5125	CM040487.1	1571522	1573001	+	0.9935	1.000
GCA_016166325.2	220164at5125	CM040491.1	1497414	1499686	+	0.997	1.000
GCA_016166325.2	220180at5125	CM040489.1	4230919	4232694	-	0.9773	1.000
GCA_016166325.2	220205at5125	CM040486.1	3749534	3758658	-	0.9951	1.000
GCA_016166325.2	220206at5125	CM040489.1	2406749	2408925	-	0.9851	1.000
GCA_016166325.2	220211at5125	CM040488.1	2518920	2521090	-	0.9919	1.000
GCA_016166325.2	220224at5125	CM040489.1	2050065	2052155	+	0.9967	1.000
GCA_016166325.2	220227at5125	CM040485.1	3279166	3280956	+	1.0	1.000
GCA_016166325.2	220234at5125	CM040488.1	2400231	2401157	-	1.0	1.000
GCA_016166325.2	220241at5125	CM040488.1	3124406	3126695	+	0.9927	1.000
GCA_016166325.2	220242at5125	CM040492.1	1390683	1392548	-	0.9968	1.000
GCA_016166325.2	220250at5125	CM040490.1	2307203	2308515	+	0.9833	1.000
GCA_016166325.2	220255at5125	CM040488.1	1465143	1466660	+	0.9979	1.000
GCA_016166325.2	220263at5125	CM040490.1	797794	799182	-	1.0	1.000
GCA_016166325.2	220266at5125	CM040488.1	1165607	1167642	+	0.9938	1.000
GCA_016166325.2	220292at5125	CM040485.1	2879873	2880888	+	0.9891	1.000
GCA_016166325.2	220339at5125	CM040486.1	4294915	4298759	+	1.0	1.000
GCA_016166325.2	220340at5125	CM040489.1	3805324	3807371	-	0.9984	1.000
GCA_016166325.2	220356at5125	CM040492.1	902759	904809	+	0.9841	1.000
GCA_016166325.2	220363at5125	CM040489.1	1075257	1077109	-	0.9983	1.000
GCA_016166325.2	220366at5125	CM040489.1	3826094	3827778	-	1.0	1.000
GCA_016166325.2	220372at5125	CM040485.1	2794560	2801027	-	0.9962	1.000
GCA_016166325.2	220376at5125	CM040485.1	1577392	1579365	-	0.997	1.000
GCA_016166325.2	220397at5125	CM040487.1	2496184	2497877	+	0.9867	1.000
GCA_016166325.2	220414at5125	CM040492.1	2430882	2433050	+	0.9972	1.000
GCA_016166325.2	220419at5125	CM040491.1	1468929	1470197	+	0.9971	1.000
GCA_016166325.2	220435at5125	CM040488.1	1914126	1915297	-	0.9971	1.000
GCA_016166325.2	220452at5125	CM040486.1	3794540	3795685	+	0.9869	1.000
GCA_016166325.2	220456at5125	CM040489.1	1341029	1343277	+	0.9883	1.000
GCA_016166325.2	220486at5125	CM040487.1	1439235	1441049	+	0.995	1.000
GCA_016166325.2	220496at5125	CM040485.1	5413438	5417233	+	0.9968	1.000
GCA_016166325.2	220511at5125	CM040487.1	2115105	2116573	-	0.9915	1.000
GCA_016166325.2	220516at5125	CM040487.1	2328813	2330839	-	0.9984	1.000
GCA_016166325.2	220517at5125	CM040491.1	3448678	3453634	+	0.9957	1.000
GCA_016166325.2	220524at5125	CM040485.1	5979692	5981389	+	0.9982	1.000
GCA_016166325.2	220529at5125	CM040491.1	2911163	2912635	-	0.9918	1.000
GCA_016166325.2	220530at5125	CM040487.1	2102235	2103040	+	1.0	1.000
GCA_016166325.2	220551at5125	CM040485.1	4063800	4064451	-	0.9949	1.000
GCA_016166325.2	220572at5125	CM040486.1	374663	376317	+	0.9981	1.000
GCA_016166325.2	220581at5125	CM040489.1	3205684	3206735	+	1.0	1.000
GCA_016166325.2	220592at5125	CM040490.1	3700180	3700959	-	1.0	1.000
GCA_016166325.2	220597at5125	CM040485.1	5299325	5304693	-	0.9932	1.000
GCA_016166325.2	220599at5125	CM040490.1	1138777	1139766	+	0.9939	1.000
GCA_016166325.2	220612at5125	CM040491.1	2638473	2640578	+	1.0	1.000
GCA_016166325.2	220646at5125	CM040487.1	4195216	4195690	+	0.9929	1.000
GCA_016166325.2	220660at5125	CM040491.1	3434055	3440554	+	0.9931	1.000
GCA_016166325.2	220715at5125	CM040487.1	1020374	1022242	+	0.9927	1.000
GCA_016166325.2	220723at5125	CM040488.1	701560	703477	+	0.9866	1.000
GCA_016166325.2	220724at5125	CM040487.1	4418068	4418529	-	0.9935	1.000
GCA_016166325.2	220732at5125	CM040489.1	3225286	3231605	+	0.9855	1.000
GCA_016166325.2	220759at5125	CM040488.1	2169262	2170466	+	0.9974	1.000
GCA_016166325.2	220766at5125	CM040486.1	2628406	2630531	+	0.9951	1.000
GCA_016166325.2	220769at5125	CM040487.1	841648	843338	-	1.0	1.000
GCA_016166325.2	220785at5125	CM040490.1	3050723	3063390	+	0.9961	1.000
GCA_016166325.2	220786at5125	CM040491.1	1616132	1617412	-	1.0	1.000
GCA_016166325.2	220821at5125	CM040491.1	1735312	1736055	-	1.0	1.000
GCA_016166325.2	220823at5125	CM040488.1	1683734	1684262	-	0.9855	1.000
GCA_016166325.2	220838at5125	CM040491.1	2373169	2374043	+	0.9963	1.000
GCA_016166325.2	220842at5125	CM040488.1	3066801	3067874	+	0.9944	1.000
GCA_016166325.2	220850at5125	CM040491.1	2441191	2444169	+	0.9978	1.000
GCA_016166325.2	220877at5125	CM040491.1	3103342	3105739	-	0.9974	1.000
GCA_016166325.2	220890at5125	CM040490.1	1042402	1043831	+	0.9831	1.000
GCA_016166325.2	220926at5125	CM040486.1	1761894	1762937	-	0.9909	1.000
GCA_016166325.2	220968at5125	CM040489.1	3327939	3328493	-	1.0	1.000
GCA_016166325.2	220971at5125	CM040485.1	4405942	4407525	-	0.9919	1.000
GCA_016166325.2	220985at5125	CM040485.1	3315376	3317839	+	0.9987	1.000
GCA_016166325.2	221004at5125	CM040489.1	3653454	3655322	+	0.9952	1.000
GCA_016166325.2	221018at5125	CM040489.1	1453425	1455171	-	0.9929	1.000
GCA_016166325.2	221021at5125	CM040489.1	3051517	3053051	+	0.9939	1.000
GCA_016166325.2	221038at5125	CM040486.1	3394255	3395194	-	1.0	1.000
GCA_016166325.2	221042at5125	CM040485.1	2163418	2165499	+	0.9971	1.000
GCA_016166325.2	221047at5125	CM040489.1	1965674	1969500	-	0.9874	1.000
GCA_016166325.2	221053at5125	CM040486.1	846543	847887	+	1.0	1.000
GCA_016166325.2	221060at5125	CM040485.1	2100465	2102608	-	0.997	1.000
GCA_016166325.2	221075at5125	CM040490.1	2795495	2799426	+	0.9832	0.997
GCA_016166325.2	221089at5125	CM040489.1	2544064	2545590	-	0.9972	1.000
GCA_016166325.2	221103at5125	CM040488.1	1780407	1781594	+	0.9949	1.000
GCA_016166325.2	221106at5125	CM040490.1	2100605	2103254	+	0.9965	1.000
GCA_016166325.2	221116at5125	CM040485.1	1527956	1529374	-	0.9979	1.000
GCA_016166325.2	221138at5125	CM040486.1	1350708	1351814	+	1.0	1.000
GCA_016166325.2	221141at5125	CM040490.1	711120	712093	+	0.9895	1.000
GCA_016166325.2	221158at5125	CM040490.1	3592176	3593185	-	1.0	1.000
GCA_016166325.2	221182at5125	CM040487.1	1622435	1623583	+	0.9973	1.000
GCA_016166325.2	221212at5125	CM040486.1	1671261	1672985	-	0.9913	1.000
GCA_016166325.2	221222at5125	CM040492.1	2594014	2596071	+	0.9884	1.000
GCA_016166325.2	221228at5125	CM040491.1	1910777	1917909	+	0.9944	1.000
GCA_016166325.2	221239at5125	CM040488.1	2230965	2231399	-	1.0	1.000
GCA_016166325.2	221247at5125	CM040485.1	3210433	3217860	-	0.9945	1.000
GCA_016166325.2	221278at5125	CM040491.1	3370497	3371683	-	0.9973	1.000
GCA_016166325.2	221279at5125	CM040487.1	4048336	4050320	+	0.9969	1.000
GCA_016166325.2	221281at5125	CM040489.1	3190055	3190763	+	0.9908	1.000
GCA_016166325.2	221282at5125	CM040486.1	3640343	3641611	+	0.9917	1.000
GCA_016166325.2	221300at5125	CM040488.1	3144948	3147899	+	0.9879	1.000
GCA_016166325.2	221315at5125	CM040488.1	1408279	1409707	+	0.9971	1.000
GCA_016166325.2	221322at5125	CM040491.1	2630903	2634210	+	0.9983	1.000
GCA_016166325.2	221332at5125	CM040492.1	2412921	2413688	-	0.9882	1.000
GCA_016166325.2	221345at5125	CM040487.1	689353	689862	+	0.9882	1.000
GCA_016166325.2	221352at5125	CM040488.1	2213673	2215261	-	0.9843	1.000
GCA_016166325.2	221361at5125	CM040488.1	4190046	4190717	-	1.0	1.000
GCA_016166325.2	221369at5125	CM040491.1	2908510	2909718	-	1.0	1.000
GCA_016166325.2	221389at5125	CM040487.1	1170888	1172909	+	0.9893	1.000
GCA_016166325.2	221393at5125	CM040485.1	3577805	3578834	-	1.0	1.000
GCA_016166325.2	221395at5125	CM040485.1	3239641	3242723	-	0.9941	1.000
GCA_016166325.2	221396at5125	CM040490.1	1460489	1462129	+	0.9927	1.000
GCA_016166325.2	221415at5125	CM040489.1	1257402	1259957	+	0.9871	1.000
GCA_016166325.2	221425at5125	CM040489.1	3627894	3634712	-	0.9942	1.000
GCA_016166325.2	221466at5125	CM040487.1	1982556	1984103	+	0.9942	1.000
GCA_016166325.2	221470at5125	CM040486.1	2473145	2474224	-	0.9906	1.000
GCA_016166325.2	221476at5125	CM040489.1	2592835	2600994	-	0.9942	1.000
GCA_016166325.2	221492at5125	CM040485.1	2433675	2435337	-	0.9981	1.000
GCA_016166325.2	221501at5125	CM040487.1	4026434	4027618	+	1.0	1.000
GCA_016166325.2	221516at5125	CM040486.1	4422505	4423361	-	0.9925	1.000
GCA_016166325.2	221525at5125	CM040486.1	3476305	3477669	-	0.9869	1.000
GCA_016166325.2	221527at5125	CM040492.1	1872875	1877789	+	0.9973	1.000
GCA_016166325.2	221533at5125	CM040492.1	1627891	1629647	-	0.9841	1.000
GCA_016166325.2	221549at5125	CM040485.1	2276949	2278268	+	0.9886	1.000
GCA_016166325.2	221560at5125	CM040489.1	2941080	2941703	+	0.9869	1.000
GCA_016166325.2	221582at5125	CM040485.1	2035721	2037058	-	1.0	1.000
GCA_016166325.2	221593at5125	CM040488.1	3694911	3705031	-	0.9869	1.000
GCA_016166325.2	221607at5125	CM040485.1	5245390	5246923	-	0.997	1.000
GCA_016166325.2	221608at5125	CM040488.1	4081981	4083053	-	0.9968	1.000
GCA_016166325.2	221610at5125	CM040486.1	2193698	2194494	-	0.9959	1.000
GCA_016166325.2	221615at5125	CM040489.1	3019762	3020952	-	0.9874	1.000
GCA_016166325.2	221622at5125	CM040488.1	3373376	3374139	-	0.9916	1.000
GCA_016166325.2	221637at5125	CM040492.1	1637791	1639897	-	0.9925	1.000
GCA_016166325.2	221645at5125	CM040492.1	1269804	1270646	+	0.9929	1.000
GCA_016166325.2	221648at5125	CM040490.1	819230	820209	-	0.9931	1.000
GCA_016166325.2	221670at5125	CM040489.1	1148230	1149985	-	0.9946	1.000
GCA_016166325.2	221680at5125	CM040492.1	1146171	1150703	-	0.9977	1.000
GCA_016166325.2	221689at5125	CM040485.1	5899688	5905010	+	0.9936	1.000
GCA_016166325.2	221698at5125	CM040487.1	768274	769548	-	0.9882	1.000
GCA_016166325.2	221758at5125	CM040489.1	2983097	2988255	+	1.0	1.000
GCA_016166325.2	221810at5125	CM040489.1	3480865	3482223	+	0.9934	1.000
GCA_016166325.2	221811at5125	CM040486.1	4392255	4395008	+	0.9935	1.000
GCA_016166325.2	221813at5125	CM040485.1	5389827	5391259	-	0.9928	1.000
GCA_016166325.2	221831at5125	CM040488.1	1665810	1667557	+	0.9921	1.000
GCA_016166325.2	221852at5125	CM040486.1	594883	595820	+	1.0	1.000
GCA_016166325.2	221866at5125	CM040490.1	3088519	3089571	+	0.98	1.000
GCA_016166325.2	221873at5125	CM040491.1	2724280	2724821	+	0.9852	1.000
GCA_016166325.2	221879at5125	CM040490.1	1685138	1686596	+	0.9893	1.000
GCA_016166325.2	221913at5125	CM040487.1	1387210	1388618	+	0.9956	1.000
GCA_016166325.2	221926at5125	CM040486.1	3032419	3034401	+	0.9984	1.000
GCA_016166325.2	221929at5125	CM040489.1	3893963	3895618	-	0.9928	1.000
GCA_016166325.2	221953at5125	CM040485.1	1599738	1600623	-	0.9964	1.000
GCA_016166325.2	221985at5125	CM040487.1	1594945	1596314	-	0.9973	1.000
GCA_016166325.2	221997at5125	CM040485.1	1420751	1421809	-	0.9882	1.000
GCA_016166325.2	222003at5125	CM040485.1	3940705	3941568	+	1.0	1.000
GCA_016166325.2	222052at5125	CM040486.1	4359341	4361128	-	0.9966	1.000
GCA_016166325.2	222072at5125	CM040485.1	4162167	4163546	+	0.9978	1.000
GCA_016166325.2	222092at5125	CM040488.1	2896844	2897579	+	0.9956	1.000
GCA_016166325.2	222094at5125	CM040490.1	2731553	2732048	+	0.9975	1.000
GCA_016166325.2	222153at5125	CM040488.1	2146861	2148755	+	0.9916	1.000
GCA_016166325.2	222159at5125	CM040485.1	3023235	3024443	-	0.9974	1.000
GCA_016166325.2	222173at5125	CM040488.1	3389476	3390354	+	0.9817	1.000
GCA_016166325.2	222174at5125	CM040487.1	2239331	2240566	+	0.9951	1.000
GCA_016166325.2	222177at5125	CM040491.1	1973333	1974727	-	0.9957	1.000
GCA_016166325.2	222182at5125	CM040485.1	2686364	2687161	+	0.9871	1.000
GCA_016166325.2	222198at5125	CM040491.1	1890905	1891741	-	1.0	1.000
GCA_016166325.2	222206at5125	CM040490.1	2339602	2341035	-	0.9958	1.000
GCA_016166325.2	222216at5125	CM040487.1	810094	811608	+	1.0	1.000
GCA_016166325.2	222227at5125	CM040489.1	2990855	2991595	-	0.9935	1.000
GCA_016166325.2	222280at5125	CM040486.1	3420642	3422332	+	0.9981	1.000
GCA_016166325.2	222281at5125	CM040488.1	1539129	1540022	+	1.0	1.000
GCA_016166325.2	222284at5125	CM040490.1	3234833	3235930	-	0.9973	1.000
GCA_016166325.2	222287at5125	CM040491.1	2329440	2330534	-	0.9935	1.000
GCA_016166325.2	222290at5125	CM040488.1	3266060	3268081	-	0.9941	1.000
GCA_016166325.2	222325at5125	CM040489.1	1380297	1385465	-	0.9898	1.000
GCA_016166325.2	222341at5125	CM040487.1	2275604	2278078	-	1.0	1.000
GCA_016166325.2	222352at5125	CM040485.1	5819519	5820361	-	0.9857	1.000
GCA_016166325.2	222374at5125	CM040485.1	1622834	1624579	+	0.9966	1.000
GCA_016166325.2	222376at5125	CM040486.1	3175280	3176284	+	0.9966	1.000
GCA_016166325.2	222384at5125	CM040488.1	1714978	1717252	+	0.9944	1.000
GCA_016166325.2	222418at5125	CM040487.1	4266450	4267722	-	0.9926	1.000
GCA_016166325.2	222422at5125	CM040488.1	1920452	1921114	-	0.9283	1.000
GCA_016166325.2	222430at5125	CM040486.1	1536288	1537997	-	0.985	1.000
GCA_016166325.2	222441at5125	CM040485.1	1650251	1651456	+	0.995	1.000
GCA_016166325.2	222445at5125	CM040491.1	2845953	2846928	+	1.0	1.000
GCA_016166325.2	222485at5125	CM040490.1	2624178	2625252	+	0.9971	1.000
GCA_016166325.2	222491at5125	CM040491.1	2996030	2997268	+	0.9976	1.000
GCA_016166325.2	222528at5125	CM040485.1	4602890	4605451	-	0.9988	1.000
GCA_016166325.2	222546at5125	CM040492.1	2417163	2417750	+	0.9846	1.000
GCA_016166325.2	22255at5125	CM040490.1	2488940	2490314	-	0.9977	1.000
GCA_016166325.2	222567at5125	CM040491.1	1866141	1869084	+	0.9969	1.000
GCA_016166325.2	222574at5125	CM040489.1	2493869	2495222	-	0.993	1.000
GCA_016166325.2	222624at5125	CM040487.1	1227193	1227754	+	1.0	1.000
GCA_016166325.2	222626at5125	CM040490.1	3066805	3068085	+	0.9918	1.000
GCA_016166325.2	222629at5125	CM040486.1	1963245	1963808	+	1.0	1.000
GCA_016166325.2	222634at5125	CM040486.1	1277291	1278306	+	0.9966	1.000
GCA_016166325.2	222646at5125	CM040486.1	2497219	2497932	+	0.9916	1.000
GCA_016166325.2	222663at5125	CM040488.1	3927912	3928609	+	0.98	1.000
GCA_016166325.2	222665at5125	CM040485.1	1121344	1123677	+	0.9987	1.000
GCA_016166325.2	22269at5125	CM040491.1	3256962	3258325	+	0.9966	1.000
GCA_016166325.2	222704at5125	CM040485.1	3975334	3976618	-	0.9975	1.000
GCA_016166325.2	222715at5125	CM040486.1	1295154	1295489	-	1.0	1.000
GCA_016166325.2	222729at5125	CM040490.1	2663192	2664452	-	0.995	1.000
GCA_016166325.2	222753at5125	CM040488.1	2696772	2701668	-	0.9882	1.000
GCA_016166325.2	222763at5125	CM040486.1	3170402	3171511	+	0.9906	1.000
GCA_016166325.2	222766at5125	CM040490.1	1864240	1866460	-	0.981	1.000
GCA_016166325.2	222776at5125	CM040492.1	1636570	1637565	+	0.997	1.000
GCA_016166325.2	222778at5125	CM040485.1	3956470	3957295	+	0.9817	1.000
GCA_016166325.2	222812at5125	CM040486.1	3400703	3402072	+	0.9834	1.000
GCA_016166325.2	222814at5125	CM040492.1	1186039	1187106	-	0.9831	1.000
GCA_016166325.2	222843at5125	CM040488.1	4371114	4372732	-	0.9981	1.000
GCA_016166325.2	222853at5125	CM040492.1	1614586	1615179	+	0.9949	1.000
GCA_016166325.2	222863at5125	CM040485.1	3443809	3455831	+	0.9934	1.000
GCA_016166325.2	222901at5125	CM040485.1	3943424	3944347	+	1.0	1.000
GCA_016166325.2	222908at5125	CM040486.1	3278103	3279008	+	0.9937	1.000
GCA_016166325.2	222933at5125	CM040485.1	4965544	4966442	+	0.996	1.000
GCA_016166325.2	222951at5125	CM040486.1	1856607	1857656	-	0.9914	1.000
GCA_016166325.2	222954at5125	CM040485.1	3908845	3910073	-	1.0	1.000
GCA_016166325.2	222999at5125	CM040487.1	748379	749248	+	1.0	1.000
GCA_016166325.2	223015at5125	CM040485.1	2737284	2739212	-	0.9934	1.000
