Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_014324775.1	Fusarium oxysporum		Fo41	SAMN13221274		Fo41	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	51290483	2468	540341
GCA_014324795.1	Fusarium oxysporum		Fo39	SAMN13221273		Fo39	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	50082841	1824	348433
GCA_014324805.1	Fusarium oxysporum		Fo29	SAMN13221271		Fo29	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	50651040	1750	629527
GCA_014324835.1	Fusarium oxysporum		Fo28	SAMN13221270		Fo28	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	52067767	2865	493356
GCA_014324865.1	Fusarium oxysporum		Fo26	SAMN13221269		Fo26	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	52287225	2707	594802
GCA_014324895.1	Fusarium oxysporum		Fo25	SAMN13221268		Fo25	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	50470764	2069	246647
GCA_014324905.1	Fusarium oxysporum		Fo20	SAMN13221266		Fo20	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	52148302	1925	538106
GCA_014324935.1	Fusarium oxysporum		Fo18	SAMN13221265		Fo18	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	54920127	2956	447493
GCA_014324955.1	Fusarium oxysporum		Fo17	SAMN13221264		Fo17	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	51758095	1720	524589
GCA_014324975.1	Fusarium oxysporum		Fo15	SAMN13221262		Fo15	missing	Australia	missing	Scaffold	Illumina HiSeq	48650856	1624	742748
GCA_014324985.1	Fusarium oxysporum		Fo14	SAMN13221261		Fo14	missing	Australia	missing	Scaffold	Illumina HiSeq	53567140	3721	279540
GCA_014325015.1	Fusarium oxysporum		Fo13	SAMN13221260		Fo13	missing	Australia	missing	Scaffold	Illumina HiSeq	50841866	1922	322587
GCA_014325035.1	Fusarium oxysporum		Fo12	SAMN13221259		Fo12	missing	Australia	missing	Scaffold	Illumina HiSeq	50199843	1748	685263
GCA_014325045.1	Fusarium oxysporum		Fo11	SAMN13221258		Fo11	missing	Australia	missing	Scaffold	Illumina HiSeq	49874305	1631	717054
GCA_014325065.1	Fusarium oxysporum		Fo16	SAMN13221263		Fo16	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	51702916	2093	464185
GCA_014325095.1	Fusarium oxysporum		Fo10	SAMN13221257		Fo10	missing	Australia	missing	Scaffold	Illumina HiSeq	52686132	2322	458481
GCA_014325125.1	Fusarium oxysporum		Fo9	SAMN13221256		Fo9	missing	Australia	missing	Scaffold	Illumina HiSeq	47792005	786	908769
GCA_014325135.1	Fusarium oxysporum		Fo8	SAMN13221255		Fo8	missing	Australia	missing	Scaffold	Illumina HiSeq	50530900	2019	620859
GCA_014325185.1	Fusarium oxysporum		Fo7	SAMN13221254		Fo7	missing	Australia	missing	Scaffold	Illumina HiSeq	53356140	2650	306753
GCA_014325205.1	Fusarium oxysporum		Fo5	SAMN13221252		Fo5	missing	Australia	missing	Scaffold	Illumina HiSeq	53595403	3407	346427
GCA_014325215.1	Fusarium oxysporum		Fo6	SAMN13221253		Fo6	missing	Australia	missing	Scaffold	Illumina HiSeq	52559635	3017	337820
GCA_014325225.1	Fusarium oxysporum		Fo4	SAMN13221251		Fo4	missing	Australia	missing	Scaffold	Illumina HiSeq	53665476	2778	426369
GCA_014325235.1	Fusarium oxysporum		Fo3	SAMN13221250		Fo3	missing	Australia	missing	Scaffold	Illumina HiSeq	56720539	4053	328741
GCA_014325295.1	Fusarium oxysporum		Fo2	SAMN13221249		Fo2	Actinotus helianthi	Australia	missing	Scaffold	Illumina HiSeq	47452269	963	712505
GCA_014325315.1	Fusarium oxysporum		Fo1	SAMN13221248		Fo1	Wollemia nobilis	Australia	missing	Scaffold	Illumina HiSeq	49057628	979	792453
GCA_014337855.1	Fusarium oxysporum		Fo24	SAMN13221267		Fo24	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	52647048	3096	388567
GCA_014857085.1	Fusarium oxysporum		170	SAMN14669697		170	Acacia koa	USA: Maui, Hawaii	2006	Chromosome	Illumina Truseq	49057733	273	587293
GCA_015345885.1	Fusarium oxysporum	Fol001		SAMN16393955	Fol001		tomato	Netherlands	missing	Contig	PacBio RSII	55816077	87	3629953
GCA_015345895.1	Fusarium oxysporum	Fol010		SAMN16393954	Fol010		tomato	Netherlands	missing	Contig	PacBio RSII	54813233	53	4612997
GCA_016163925.1	Fusarium oxysporum	N-18842		SAMN13064004	N-18842		Fragaria x ananassa	Australia: near Stockleigh city, Queensland province	2009	Contig	Illumina HiSeq	51804496	2047	425819
GCA_016163985.1	Fusarium oxysporum	N-16999		SAMN13064001	N-16999		Fragaria x ananassa	Australia: near Cleveland city, Queensland province	2007	Scaffold	Illumina HiSeq	50635309	1164	1081088
GCA_016163995.1	Fusarium oxysporum	N-16893		SAMN13064000	N-16893		Fragaria x ananassa	Australia: near Beenleigh city, Queensland province	2007	Scaffold	Illumina HiSeq	51282350	1549	925561
GCA_016164055.1	Fusarium oxysporum	N-16818		SAMN13063999	N-16818		Fragaria x ananassa	Australia: near Nambour city, Queensland province	2007	Scaffold	Illumina HiSeq	49935726	954	570737
GCA_016164075.1	Fusarium oxysporum	N-10226		SAMN13063998	N-10226		Fragaria x ananassa	Australia: near Hastey Park city, Queensland province	1992	Scaffold	Illumina HiSeq	46794739	889	686818
GCA_016164085.1	Fusarium oxysporum	N-10010		SAMN13063997	N-10010		Fragaria x ananassa	Australia: near Caboolture city, Queensland province	1991	Contig	Illumina HiSeq	48668439	612	899457
GCA_016165925.1	Fusarium oxysporum	GL1704		SAMN13063989	GL1704		not applicable	USA: near Watsonville city, California	2015	Contig	Illumina HiSeq	51381958	1948	508375
GCA_016165995.1	Fusarium oxysporum	GL1703		SAMN13063988	GL1703		not applicable	USA: near Watsonville city, California	2015	Contig	Illumina HiSeq	49609257	754	679971
GCA_016166015.1	Fusarium oxysporum	GL1552		SAMN13063986	GL1552		not applicable	USA: near Watsonville city, California	2015	Contig	Illumina HiSeq	50109944	1161	795631
GCA_016166025.1	Fusarium oxysporum	GL1702		SAMN13063987	GL1702		not applicable	USA: near Watsonville city, California	2015	Contig	Illumina HiSeq	50412027	1260	517579
GCA_016166045.1	Fusarium oxysporum	GL1551		SAMN13063985	GL1551		not applicable	USA: near Watsonville city, California	2015	Contig	Illumina HiSeq	51879714	1650	786312
GCA_016166205.1	Fusarium oxysporum	G2-4		SAMN13063975	G2-4		Fragaria x ananassa	Spain: near Huelva city, Andalusia region	2007	Scaffold	Illumina HiSeq	50429603	1511	797645
GCA_016859205.1	Fusarium oxysporum	FoPvo1		SAMN14639263	FoPvo1		Plukenetia volubilis	China: Yunnan	2019-08-01	Contig	PacBio Sequel	50989260	32	4335466
GCA_019054625.1	Fusarium oxysporum	S18/30		SAMN19113901	S18/30		Glycine max	Poland	not collected	Contig	Illumina	40200404	199	262934
GCA_019054655.1	Fusarium oxysporum	S17/14		SAMN19113899	S17/14		Glycine max	Poland	not collected	Contig	Illumina	39725790	254	181777
GCA_019054755.1	Fusarium oxysporum	S18/25		SAMN19113898	S18/25		Glycine max	Poland	not collected	Contig	Illumina	35016598	134	312442
GCA_019054795.1	Fusarium oxysporum	S18/40		SAMN19113902	S18/40		Glycine max	Poland	not collected	Contig	Illumina	41630187	1334	40327
GCA_019055395.1	Fusarium oxysporum	S17/8		SAMN19113900	S17/8		Glycine max	Poland	not collected	Contig	Illumina	45731697	8471	6865
GCA_019843925.1	Fusarium oxysporum	NRRL 43631		SAMN15508578	NRRL 43631		missing	missing	missing	Scaffold	Illumina MiSeq	58025491	14804	61883
GCA_020744355.1	Fusarium oxysporum	MPI-CAGE-CH-0212		SAMN09062722	MPI-CAGE-CH-0212		not applicable	missing	missing	Contig	PacBio SEQUEL	55719217	66	4810307
GCA_020744455.1	Fusarium oxysporum	MPI-SDFR-AT-0094		SAMN08150284	MPI-SDFR-AT-0094		not applicable	France: Saint-Die	missing	Contig	PacBio SEQUEL	52242347	128	1619373
GCA_020976335.1	Fusarium oxysporum	nonpath2		SAMN13622806	nonpath2		Cucumis melo	Iran: Fars	missing	Scaffold	Illumina HiSeq	53373891	3681	260510
GCA_020976685.1	Fusarium oxysporum	nonpath5		SAMN13622807	nonpath5		Carthamus oxyacanthus	Iran: Fars	missing	Scaffold	Illumina HiSeq	54178735	4491	245033
GCA_020976715.1	Fusarium oxysporum	TO1		SAMN13622805	TO1		Cucumis melo	Iran: Khorasan	missing	Scaffold	Illumina HiSeq	52296727	2293	460339
GCA_020976725.1	Fusarium oxysporum	2Ma4-5		SAMN13622803	2Ma4-5		Cucumis melo	Iran: Khorasan	missing	Scaffold	Illumina HiSeq	51423352	2833	424702
GCA_023628715.1	Fusarium oxysporum	M7004Y		SAMN27964117	M7004Y		Homo sapiens	China:Dalian	2019	Scaffold	Illumina HiSeq	46975095	475	301276
GCA_024343375.1	Fusarium oxysporum	FoPvo1		SAMN14610696	FoPvo1		Plukenetia volubilis	not collected	not collected	Contig	PacBio	50989260	32	4335466
GCA_024865645.1	Fusarium oxysporum	09-002		SAMN21031232	09-002		lattice	South Korea: Suwon	2018	Scaffold	Illumina HiSeq	46286843	1503	859854
GCA_025176795.1	Fusarium oxysporum	VPRI44291		SAMN28868189	VPRI44291		Vicia faba	Australia: Rupanyup, SA	2019-10-10	Contig	Illumina NovaSeq	53082548	4096	427337
GCA_025177585.1	Fusarium oxysporum	FCALT		SAMN29790836	FCALT		Chelymorpha alternans	Germany	2021-07	Contig	PacBio Sequel	48610231	12	4971018
GCA_025177805.1	Fusarium oxysporum	VPRI44313		SAMN28868192	VPRI44313		Cicer arietinum	Australia: Naracoorte, SA	2020-02-25	Contig	Illumina NovaSeq	55251345	5337	266959
GCA_025201435.1	Fusarium oxysporum	VPRI44290		SAMN28868188	VPRI44290		Vicia faba	Australia: Bordertown, SA	2019-10-16	Contig	Illumina NovaSeq	51935482	2385	1080761
GCA_025201465.1	Fusarium oxysporum	VPRI44289		SAMN28868187	VPRI44289		Lupinus polyphyllus	Australia: Ongerup, SA	2019-10-11	Contig	Illumina NovaSeq	51741387	2972	508576
GCA_025201475.1	Fusarium oxysporum	VPRI44311		SAMN28868190	VPRI44311		Vicia sativa	Australia: Roseworthy, SA	2019-09-02	Contig	Illumina NovaSeq	55537835	5267	443238
GCA_025201495.1	Fusarium oxysporum	VPRI44288		SAMN28868186	VPRI44288		Lupinus polyphyllus	Australia: Amelup, SA	2019-10-14	Contig	Illumina NovaSeq	53212975	3220	370433
GCA_025201995.1	Fusarium oxysporum	VPRI44285		SAMN28868183	VPRI44285		Cicer arietinum	Australia: Mannum, SA	2019-06-26	Scaffold	Illumina NovaSeq	55563210	6420	554768
GCA_025215195.1	Fusarium oxysporum	VPRI44312		SAMN28868191	VPRI44312		Cicer arietinum	Australia: Naracoorte, SA	2020-02-24	Contig	Illumina NovaSeq	53118346	3902	369640
GCA_025215215.1	Fusarium oxysporum	VPRI44314		SAMN28868193	VPRI44314		Medicago sativa	Australia: Padthaway, SA	2020-05-04	Contig	Illumina NovaSeq	53172182	4006	370372
GCA_025215475.1	Fusarium oxysporum	VPRI43909		SAMN28868175	VPRI43909		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	55842171	6468	405026
GCA_025215805.1	Fusarium oxysporum	VPRI44287		SAMN28868185	VPRI44287		Lens culinaris subsp. Culinaris	Australia: Maitland, SA	2019-08-05	Contig	Illumina NovaSeq	53165723	4812	489359
GCA_025215825.1	Fusarium oxysporum	VPRI43897		SAMN28868180	VPRI43897		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	49025293	548	696251
GCA_025215845.1	Fusarium oxysporum	VPRI43893		SAMN28868181	VPRI43893		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	55804075	4721	267993
GCA_025215865.1	Fusarium oxysporum	VPRI44286		SAMN28868184	VPRI44286		Lathyrus oleraceus	Australia: Moonta, SA	2019-07-02	Contig	Illumina NovaSeq	53221060	3622	498731
GCA_025215885.1	Fusarium oxysporum	VPRI43899		SAMN28868176	VPRI43899		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	50467988	2205	567536
GCA_025215895.1	Fusarium oxysporum	VPRI43895		SAMN28868178	VPRI43895		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	52704019	13976	15990
GCA_025215925.1	Fusarium oxysporum	VPRI43898		SAMN28868179	VPRI43898		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	52726007	4374	525937
GCA_025215945.1	Fusarium oxysporum	VPRI44284		SAMN28868182	VPRI44284		Vicia faba	Australia: Frances, SA	2018-07-24	Contig	Illumina NovaSeq	53722520	4738	482699
GCA_025215965.1	Fusarium oxysporum	VPRI43896		SAMN28868177	VPRI43896		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	48259671	550	467745
GCA_025215985.1	Fusarium oxysporum	VPRI43901		SAMN28868171	VPRI43901		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	55779357	6224	443574
GCA_025216005.1	Fusarium oxysporum	VPRI43906		SAMN28868172	VPRI43906		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	53064589	3421	794317
GCA_025216025.1	Fusarium oxysporum	VPRI43904		SAMN28868170	VPRI43904		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	54409598	4493	372765
GCA_025216045.1	Fusarium oxysporum	VPRI43892		SAMN28868173	VPRI43892		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	48739903	573	426510
GCA_025216065.1	Fusarium oxysporum	VPRI43900		SAMN28868169	VPRI43900		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	53239931	3875	577782
GCA_025216085.1	Fusarium oxysporum	VPRI43907		SAMN28868174	VPRI43907		Solanum lycopersicum	Australia: Victoria	2018	Contig	Illumina NovaSeq	51972749	2581	864568
GCA_025216105.1	Fusarium oxysporum	VPRI43894		SAMN28868168	VPRI43894		Solanum lycopersicum	Australia: Victoria	2017	Contig	Illumina NovaSeq	48623283	1133	651843
GCA_025216165.1	Fusarium oxysporum	VPRI43903		SAMN28868166	VPRI43903		Solanum lycopersicum	Australia: Victoria	2017	Contig	Illumina NovaSeq	54564232	5318	484997
GCA_025216205.1	Fusarium oxysporum	VPRI43902		SAMN28868167	VPRI43902		Solanum lycopersicum	Australia: Victoria	2017	Contig	Illumina NovaSeq	51882294	3241	584953
GCA_025331925.1	Fusarium oxysporum	Fo5176		SAMN14853928	Fo5176			not collected	not collected	Chromosome	PacBio RSII	68356969	28	4106309
GCA_027945255.1	Fusarium oxysporum	CF00144		SAMN30354188	CF00144		Citrus sinensis L. Osbeck	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	42238012	197	550120
GCA_027945265.1	Fusarium oxysporum	CF00141		SAMN30354186	CF00141		Citrus sinensis L. Osbeck	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	45007583	356	448954
GCA_027945275.1	Fusarium oxysporum	CF00145		SAMN30354189	CF00145		Citrus sinensis L. Osbeck	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	42897137	156	590718
GCA_027945305.1	Fusarium oxysporum	CF00160		SAMN30354190	CF00160		Citrus sinensis L. Osbeck	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	44944953	379	433814
GCA_027945315.1	Fusarium oxysporum	CF00161		SAMN30354191	CF00161		Citrus aurantium L.	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	41909290	141	723881
GCA_027945335.1	Fusarium oxysporum	CF00165		SAMN30354192	CF00165		X Citroncirus spp.	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	44959929	352	478083
GCA_027945405.1	Fusarium oxysporum	CF00159		SAMN30354194	CF00159		Citrus aurantium L.	USA:Florida	2016-03-17	Contig	Oxford Nanopore MinION	50594913	136	1462506
GCA_027945535.1	Fusarium oxysporum	CF00115		SAMN30354182	CF00115		X Citroncirus spp.	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	45048357	324	469897
GCA_027945555.1	Fusarium oxysporum	CF00132		SAMN30354183	CF00132		Citrus aurantium L.	USA:Florida	2016-03-17	Scaffold	Illumina MiSeq	48565265	492	504330
GCA_030020275.1	Fusarium oxysporum	Fo4287		SAMN35008362	Fo4287		not applicable	missing	missing	Scaffold	PacBio	55580320	45	4139508
GCA_030064525.1	Fusarium oxysporum	HS2		SAMN26278340	HS2		apple	China:Hebei, Hengshui	2008-07	Contig	MGI Seq; PacBio Sequel	56825273	19	4368311
GCA_030272305.1	Fusarium oxysporum	PkF01		SAMN28095882	PkF01		Polygonatum kingianum	China: Kunming	2019-11-30	Scaffold	PacBio Sequel	51266709	87	2461247
GCA_030345115.2	Fusarium oxysporum	Fo5176		SAMN35654617	Fo5176		Brassica oleracea	not collected	not collected	Complete Genome	PacBio	69556834	18	4366112
GCA_030578155.1	Fusarium oxysporum	TPB		SAMN33550114	TPB		Paris polyphylla	China:Kunming; Yunnan	2022-08	Contig	PacBio	51715273	18	4241171
GCA_032173435.1	Fusarium oxysporum	TXL		SAMN29935379	TXL	not applicable		Netherlands: Texel at lake De Horsmeertjes	2019-06-10	Contig	Oxford Nanopore MinION	53627835	536	3253949
GCA_032884055.1	Fusarium oxysporum	BPOP18		SAMN36012899	BPOP18			Serbia: Brzece	2020-06-13	Scaffold	Illumina NovaSeq	49992589	894	405724
GCA_034400335.1	Fusarium oxysporum	ByF01		SAMN37757793	ByF01		Knoxia roxburghii	missing	2022-08-12	Contig	Illumina HiSeq; PacBio Sequel	54431725	27	4940115
GCA_034641985.1	Fusarium oxysporum	19-385		SAMN37865303	19-385		Onion	South Korea: Hamyang, Gyeongnam	2019	Contig	PacBio Sequel IIe; Illumina NovaSeq6000	52265070	25	4794415
GCA_035772935.1	Fusarium oxysporum	QK8		SAMN31807238	QK8		Gastrodia elata	China:Guizhou	2020-11-24	Contig	Illumina HiSeq; PacBio Sequel	51204719	21	4657513
GCA_038502765.1	Fusarium oxysporum	BS26		SAMN26553941	BS26		Sugarcane	China:Guangxi	2015-09	Contig	Oxford Nanopore PromethION	51731010	31	2803775
GCA_040285555.1	Fusarium oxysporum	8RF1-3		SAMN35731318	8RF1-3		Hypericum humifusum	Slovakia	2015	Scaffold	Illumina	48003513	651	290420
GCA_040285575.1	Fusarium oxysporum	1LF1-1		SAMN35731317	1LF1-1		Hypericum perforatum	Slovakia	2015	Scaffold	Illumina	48055070	658	298421
GCA_040436745.1	Fusarium oxysporum	J210		SAMN40870502	J210		tobacco	China: Guizhou	2023-06-10	Contig	Illumina NovaSeq; PacBio Sequel	54805294	149	3538569
GCA_040938085.1	Fusarium oxysporum	FoCI-2		SAMN41437692	FoCI-2		Homo sapiens	not applicable	2009	Contig	PacBio RS	54709829	263	4112333
GCA_041380545.1	Fusarium oxysporum		cuttings	SAMN38977587		cuttings		Canada	2020-11	Scaffold	Illumina NovaSeq	47001433	523	430163
GCA_041682635.1	Fusarium oxysporum	3429		SAMN40969016	3429		Solanum nigrum	Philippines: Benguet	2017	Contig	PacBio Sequel	45354260	121	3156166
GCA_041682655.1	Fusarium oxysporum	SN1W		SAMN40969015	SN1W		Solanum nigrum	Philippines: Benguet	2017	Contig	PacBio Sequel	49055313	60	3075099
GCA_044647035.1	Fusarium oxysporum	MES6		SAMN37523101	MES6		Ponderosa pine	USA: New Mexico	2017	Scaffold	Illumina	49705329	856	477181
GCA_045838135.1	Fusarium oxysporum	AJ174		SAMN40926570	AJ174		Diplotaxis tenuifolia	missing	missing	Contig	Oxford Nanopore GridION	62618328	30	2798922
GCA_047370965.1	Fusarium oxysporum	El1cr-1f		SAMN38730072	El1cr-1f	not applicable	strawberry cv. Elan	USA: California	2023	Contig	Oxford Nanopore MinION	50370192	86	4529961
GCA_049000225.1	Fusarium oxysporum	BRF1		SAMN45847223	BRF1		Gossypium hirsutum	Australia:New South Wales,Walgett	2017-12-21	Contig	PacBio	59768061	52	4856172
GCA_050613755.1	Fusarium oxysporum	4-1		SAMN31652984	4-1		Panax notoginseng	China:Kunming	2017-10-30	Scaffold	Illumina	49834899	1557	616842
GCA_050883565.1	Fusarium oxysporum	087		SAMN47479106	087		tobacco	China	2024	Scaffold	Illumina NovaSeq	51137822	1297	487399
GCA_051529645.1	Fusarium oxysporum	VPRI44630		SAMN46159502	VPRI44630		Allium sativum	Australia: Lockyer Valley, QLD	2023-01-12	Contig	Oxford Nanopore MinION	54077911	210	3592903
GCA_051529745.1	Fusarium oxysporum	VPRI44628		SAMN46173239	VPRI44628			Australia: Lockyer Valley, QLD	2023-02-24	Contig	Oxford Nanopore MinION	53791328	159	4399489
GCA_051529765.1	Fusarium oxysporum	VPRI44635		SAMN46173238	VPRI44635			Australia: Lockyer Valley, QLD	2023-02-24	Contig	Oxford Nanopore MinION	47344689	24	4501934
GCA_051529785.1	Fusarium oxysporum	VPRI44634		SAMN46173237	VPRI44634			Australia: Lockyer Valley, QLD	2023-02-24	Contig	Oxford Nanopore MinION	54463706	153	4252426
GCA_054098455.1	Fusarium oxysporum	Fo11		SAMN44791240	Fo11		Oryza sativa Japonica Group	China: Jiangsu	2022	Scaffold	Illumina NovaSeq	46537525	926	359656
GCA_054643155.1	Fusarium oxysporum	LD-06		SAMN54270941	LD-06		Nicotiana tabacum L.	China:Hubei	2024	Complete Genome	PacBio	51734774	14	4802301
GCA_054857735.1	Fusarium oxysporum	Fom010		SAMN17208655	Fom010		melon	Israel	missing	Contig	PacBio RSII	67715289	121	3983711
GCA_054857835.1	Fusarium oxysporum	Fon019		SAMN17208656	Fon019		watermelon	USA:Texas	missing	Contig	PacBio RSII	55442018	117	3584591
GCA_054857865.1	Fusarium oxysporum	Foc013		SAMN17208658	Foc013		cucumber	China	missing	Contig	PacBio RSII	52241693	70	3641339
GCA_054857885.1	Fusarium oxysporum	Fon020		SAMN17208657	Fon020		watermelon	USA:Delaware	missing	Contig	PacBio RSII	64082059	141	3568945
GCA_054857935.1	Fusarium oxysporum	Foc015		SAMN17208659	Foc015		cucumber	China	missing	Contig	PacBio RSII	56790613	74	4300964
GCA_054857995.1	Fusarium oxysporum	Foc021		SAMN17208660	Foc021		cucumber	USA:Florida	missing	Contig	PacBio RSII	67783421	112	3586307
GCA_055681515.1	Fusarium oxysporum	F3001		SAMN50208950	F3001		plant	not applicable	2022	Scaffold	Illumina NovaSeq	51951019	2837	98328
GCA_055681535.1	Fusarium oxysporum	F3383		SAMN50208952	F3383		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	51648872	2257	230151
GCA_055681575.1	Fusarium oxysporum	F3384		SAMN50208953	F3384		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	52901850	6112	233963
GCA_055682425.1	Fusarium oxysporum	F3100		SAMN50208951	F3100		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	52936893	4887	218155
GCA_055682485.1	Fusarium oxysporum	F3385		SAMN50208954	F3385		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	51986157	4872	217828
GCA_055682525.1	Fusarium oxysporum	F3386		SAMN50208955	F3386		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	52012334	5963	216635
GCA_055682585.1	Fusarium oxysporum	F3388		SAMN50208957	F3388		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	51233987	1828	231998
GCA_055682605.1	Fusarium oxysporum	F3387		SAMN50208956	F3387		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	51691513	5082	205632
GCA_055682865.1	Fusarium oxysporum	F3390		SAMN50208958	F3390		plant	not applicable	not applicable	Scaffold	Illumina NovaSeq	52049972	5617	222871
GCA_055853645.1	Fusarium oxysporum	FO12		SAMN55876492	FO12		Quercus suber	Spain	2016-06-01	Chromosome	Oxford Nanopore MinION; HiC Illumina Novaseq	57605083	86	4297787
GCA_055878565.1	Fusarium oxysporum	BPF55		SAMN53432059	BPF55		Blaps rhynchoptera	China:Dali	2025-04-09	Contig	Illumina NovaSeq	50097173	713	495036
GCA_057128245.1	Fusarium oxysporum	S2_26		SAMN54800477	S2_26		Theobroma cacao	Colombia:Arauca	2022-07	Contig	Illumina NovaSeq	43692832	71	1380369
GCA_057657705.1	Fusarium oxysporum	Fo-129		SAMN54741892	Fo-129			China: Yunnan	2021	Chromosome	PacBio Revio; Illumina; Nanopore PromethION	52869277	15	4605390
GCA_061354595.1	Fusarium oxysporum		UOM991	SAMN53359795		UOM991	Solanum lycopersicum	Australia:Victoria	2017	Scaffold	Illumina NovaSeq	51960728	2913	685039
GCA_061354635.1	Fusarium oxysporum		UOM1390	SAMN53359794		UOM1390	Solanum lycopersicum	Australia:Victoria	2017	Scaffold	Illumina NovaSeq	55859031	5372	391191
GCA_061354655.1	Fusarium oxysporum		UOM1264	SAMN53359793		UOM1264	Solanum lycopersicum	Australia:Victoria	2017	Scaffold	Illumina NovaSeq	53190783	3462	613267
GCA_061354715.1	Fusarium oxysporum		T31	SAMN53359791		T31	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	52893494	3362	608681
GCA_061354735.1	Fusarium oxysporum		T32	SAMN53359792		T32	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	50441049	1996	549202
GCA_061354755.1	Fusarium oxysporum		T30	SAMN53359790		T30	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	53695821	4606	485953
GCA_061354795.1	Fusarium oxysporum		T29	SAMN53359789		T29	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	49268536	1475	426060
GCA_061354835.1	Fusarium oxysporum		T28	SAMN53359788		T28	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	48788828	1171	618656
GCA_061354875.1	Fusarium oxysporum		T27	SAMN53359787		T27	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	49229079	1436	513909
GCA_061354895.1	Fusarium oxysporum		T26	SAMN53359786		T26	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	48744858	1901	518568
GCA_061354915.1	Fusarium oxysporum		T25	SAMN53359785		T25	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	50241638	1855	598967
GCA_061354955.1	Fusarium oxysporum		T23	SAMN53359784		T23	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	56345675	5656	307159
GCA_061354995.1	Fusarium oxysporum		T22	SAMN53359783		T22	Solanum lycopersicum	Australia:Victoria	2024	Scaffold	Illumina NovaSeq	50265338	1895	576653
GCA_061355015.1	Fusarium oxysporum		T20	SAMN53359782		T20	irrigation water	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	51151995	1799	492242
GCA_061355055.1	Fusarium oxysporum		T19	SAMN53359781		T19	irrigation water	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	51091780	1771	545493
GCA_061355095.1	Fusarium oxysporum		T16	SAMN53359780		T16	Solanum lycopersicum	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	49694478	1062	810050
GCA_061355115.1	Fusarium oxysporum		T15	SAMN53359779		T15	Solanum lycopersicum	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	50834792	2054	498274
